pangea_id	Mean_Date [YY/MM/DD hh:mm]*	Mean_Lat*	Mean_Long*	Mean_Depth [m]*	Mean_Temperature [deg C]*	Mean_Salinity [PSU]*	Mean_Oxygen [umol/kg]*	Mean_Nitrates[umol/L]*	NO2 [umol/L]**	PO4 [umol/L]**	NO2NO3 [umol/L]**	SI [umol/L]**	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]*	Mean Depth Max Fluo [m]*	Mean Depth Max N2 [m]*	Mean Depth Max O2 [m]*	Mean Depth Min O2 [m]*	Mean Depth Nitracline [m]*	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]	sample	INSDC sample accession number(s)	INSDC run accession number(s)	Corresponding nucleotides data published at ENA	PANGAEA sample identifier	Corresponding contextual data published at PANGAEA	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	lat	lon	Sampling depth [m]	Environmental Feature	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	region	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com]	level
TARA_B100000513	10/16/2010 10:07 AM	-20.94	-35.2	5.5	23.3	37.1	206.2	0	0	0.06	0	0.81	NA	0.01	0.02	0.7	3.53	34	129	154	53	395	395	2265	365	2710	2679	6.41	7.17	17695	0.733	418710	191229	609939	2215	16	TARA_076_SRF_0.22-3	ERS490542	ERR599010|ERR599126	http://www.ebi.ac.uk/ena/data/view/ERR599010,ERR599126	TARA_B100000513	http://www.pangaea.de/search?All&q=TARA_B100000513	TARA_076	2010-10-16 09:55:00	-20.9354	-35.1803	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]	SRF
TARA_B100000530	11/04/2010 07:34 PM	-30.15	-43.25	118.3	19.3	36.3	217.1	0.5	0.05	0	0.1	0.32	NA	-0.04	0.08	1.91	14.53	34	113	41	317	409	436	3458	539	4628	4592	6.83	7.18	18431	0.731	421977	48836	470813	2505	12	TARA_078_DCM_0.22-3	ERS490691	ERR599046|ERR599101	http://www.ebi.ac.uk/ena/data/view/ERR599046,ERR599101	TARA_B100000530	http://www.pangaea.de/search?All&q=TARA_B100000530	TARA_078	2010-11-04 18:16:53	-30.1484	-43.2705	120	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]	DCM
TARA_B100000745	11/05/2010 12:33 PM	-30.15	-43.29	792.7	5.9	34.4	214.8	29.8	0	1.95	28.21	13.93	NA	-0.04	0.08	1.91	14.53	34	113	41	317	409	436	4478	677	7168	7220	6.91	7.17	20751	0.721	220787	0	220787	0	34	TARA_078_MES_0.22-3	ERS490714	ERR599124|ERR599159	http://www.ebi.ac.uk/ena/data/view/ERR599124,ERR599159	TARA_B100000745	http://www.pangaea.de/search?All&q=TARA_B100000745	TARA_078	2010-11-05 12:33:27	-30.1471	-43.2915	800	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]	MES
TARA_B100000524	11/04/2010 10:24 AM	-30.14	-43.29	5.6	19.9	36.3	221.5	-0.4	0	0	0.02	0.48	NA	-0.04	0.08	1.91	14.53	34	113	41	317	409	436	2585	416	3392	3377	6.6	7.12	15863	0.736	447396	213507	660903	5498	14	TARA_078_SRF_0.22-3	ERS490659	ERR599006|ERR599022	http://www.ebi.ac.uk/ena/data/view/ERR599006,ERR599022	TARA_B100000524	http://www.pangaea.de/search?All&q=TARA_B100000524	TARA_078	2010-11-04 10:04:00	-30.1367	-43.2899	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]	SRF
TARA_B100000767	12/06/2010 04:37 PM	-47.21	-58.06	41.8	7	34.1	306.2	17.1	0.14	1.42	19.07	3.08	29.5	-0.01	0.05	1.01	2.92	29	45	62	60	556	63	2696	383	3778	3681	6.44	7.18	12940	0.759	445364	0	445364	7963	8	TARA_082_DCM_0.22-3	ERS490928	ERR599027|ERR599122	http://www.ebi.ac.uk/ena/data/view/ERR599027,ERR599122	TARA_B100000767	http://www.pangaea.de/search?All&q=TARA_B100000767	TARA_082	2010-12-06 18:58:00	-47.2007	-57.9446	40	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(FKLD) Southwest Atlantic Shelves Province [MRGID:21469]	DCM
TARA_B100000768	12/06/2010 10:25 AM	-47.18	-58.3	5.5	7.3	34	305	17.1	0.15	1.3	18.15	1.82	27.5	-0.01	0.05	1.01	2.92	29	45	62	60	556	63	2667	377	3890	3745	6.36	7.21	12924	0.761	10639	0	10639	0	10	TARA_082_SRF_0.22-3	ERS490885	ERR599009|ERR599035	http://www.ebi.ac.uk/ena/data/view/ERR599009,ERR599035	TARA_B100000768	http://www.pangaea.de/search?All&q=TARA_B100000768	TARA_082	2010-12-06 10:33:00	-47.1863	-58.2902	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(FKLD) Southwest Atlantic Shelves Province [MRGID:21469]	SRF
TARA_B100000780	01/03/2011 11:10 AM	-60.23	-60.65	5.9	1.8	33.7	338.3	24.4	0.27	1.72	25.3	16.55	36.2	0.16	0.32	0.76	1.83	42	69	88	55	519	91	2030	297	2876	2792	6.16	7.2	12175	0.766	265149	0	265149	1506	9	TARA_084_SRF_0.22-3	ERS491001	ERR598945|ERR599059	http://www.ebi.ac.uk/ena/data/view/ERR598945,ERR599059	TARA_B100000780	http://www.pangaea.de/search?All&q=TARA_B100000780	TARA_084	2011-01-03 11:05:00	-60.2287	-60.6476	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Polar Biome	(SO) Southern Ocean [MRGID:1907]	(ANTA) Antarctic Province [MRGID:21502]	SRF
TARA_B100000795	01/06/2011 08:36 PM	-62.24	-49.18	87.4	-0.8	34.3	325.4	33.1	0.06	2.31	31	81.82	38.3	0	0	0.22	3.08	38	49	51	31	427	275	1823	284	2654	2594	5.87	7.15	10090	0.776	202364	0	202364	787	10	TARA_085_DCM_0.22-3	ERS491095	ERR599104|ERR599121	http://www.ebi.ac.uk/ena/data/view/ERR599104,ERR599121	TARA_B100000795	http://www.pangaea.de/search?All&q=TARA_B100000795	TARA_085	2011-01-06 19:34:21	-62.2231	-49.2139	90	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Polar Biome	(SO) Southern Ocean [MRGID:1907]	(ANTA) Antarctic Province [MRGID:21502]	DCM
TARA_B100000809	01/07/2011 11:25 AM	-61.98	-49.45	783.8	0.5	34.7	203.8	38.8	0.02	2.61	36.37	83.35	34.2	0	0	0.22	3.08	38	49	51	31	427	275	3682	578	6143	6126	6.9	7.15	17413	0.732	17963	0	17963	0	17	TARA_085_MES_0.22-3	ERS491110	ERR599008|ERR599125	http://www.ebi.ac.uk/ena/data/view/ERR599008,ERR599125	TARA_B100000809	http://www.pangaea.de/search?All&q=TARA_B100000809	TARA_085	2011-01-07 10:39:47	-61.9689	-49.5017	790	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Polar Biome	(SO) Southern Ocean [MRGID:1907]	(ANTA) Antarctic Province [MRGID:21502]	MES
TARA_B100000787	01/06/2011 10:26 AM	-62.03	-49.54	5.9	0.7	34.4	343.4	27.5	0.11	2.11	28.5	79.52	32.4	0	0	0.22	3.08	38	49	51	31	427	275	1645	249	2355	2344	5.81	7.15	10111	0.776	411065	0	411065	0	8	TARA_085_SRF_0.22-3	ERS491044	ERR599090|ERR599176	http://www.ebi.ac.uk/ena/data/view/ERR599090,ERR599176	TARA_B100000787	http://www.pangaea.de/search?All&q=TARA_B100000787	TARA_085	2011-01-06 10:38:00	-62.0385	-49.529	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Polar Biome	(SO) Southern Ocean [MRGID:1907]	(ANTA) Antarctic Province [MRGID:21502]	SRF
