pangea_id	Mean_Date [YY/MM/DD hh:mm]*	Mean_Lat*	Mean_Long*	Mean_Depth [m]*	Mean_Temperature [deg C]*	Mean_Salinity [PSU]*	Mean_Oxygen [umol/kg]*	Mean_Nitrates[umol/L]*	NO2 [umol/L]**	PO4 [umol/L]**	NO2NO3 [umol/L]**	SI [umol/L]**	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]*	Mean Depth Max Fluo [m]*	Mean Depth Max N2 [m]*	Mean Depth Max O2 [m]*	Mean Depth Min O2 [m]*	Mean Depth Nitracline [m]*	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]	sample	INSDC sample accession number(s)	INSDC run accession number(s)	Corresponding nucleotides data published at ENA	PANGAEA sample identifier	Corresponding contextual data published at PANGAEA	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	lat	lon	Sampling depth [m]	Environmental Feature	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	region	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com]	level
TARA_B100000965	04/15/2011 01:10 PM	-12.99	-95.99	57.6	20.6	35.5	216.8	1.5	0.16	0.78	5.7	1.9	41.8	-0.02	0.05	0.34	8.97	35	61	51	52	239	146	3053	467	4404	4230	6.83	7.25	18465	0.738	384276	116141	500417	4501	14	TARA_100_DCM_0.22-3	ERS491874	ERR599081|ERR599113	http://www.ebi.ac.uk/ena/data/view/ERR599081,ERR599113	TARA_B100000965	http://www.pangaea.de/search?All&q=TARA_B100000965	TARA_100	2011-04-15 19:38:00	-12.9723	-96.0122	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	DCM
TARA_B100000959	04/16/2011 04:09 PM	-12.93	-96.12	175.3	13	34.8	0.7	21.1	0.03	2.68	23.9	19.6	43.1	-0.02	0.05	0.34	8.97	35	61	51	52	239	146	3172	505	4805	4686	6.68	7.23	17448	0.74	305319	0	305319	0	26	TARA_100_MES_0.22-3	ERS491913	ERR598946|ERR598953|ERR598981	http://www.ebi.ac.uk/ena/data/view/ERR598946,ERR598953,ERR598981	TARA_B100000959	http://www.pangaea.de/search?All&q=TARA_B100000959	TARA_100	2011-04-16 13:03:08	-12.9794	-96.0232	177	(DCM) deep chlorophyll maximum layer (ENVO:01000326) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MES
TARA_B100000963	04/15/2011 01:10 PM	-12.99	-95.99	5.5	25.3	35.8	200.2	4.6	0.14	0.68	6.2	1.2	41.8	-0.02	0.05	0.34	8.97	35	61	51	52	239	146	2412	387	3504	3459	6.6	7.17	14283	0.749	464267	155789	620056	7780	14	TARA_100_SRF_0.22-3	ERS491836	ERR599063|ERR599163|ERR599169	http://www.ebi.ac.uk/ena/data/view/ERR599063,ERR599163,ERR599169	TARA_B100000963	http://www.pangaea.de/search?All&q=TARA_B100000963	TARA_100	2011-04-15 12:45:00	-13.0023	-95.9759	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100000902	04/22/2011 07:51 PM	-5.27	-85.23	45.7	19.6	34.9	103.9	20.3	1.2	1.86	24.4	10.5	44.4	0	0.04	1.8	3.75	18	37	36	29	353	41	2931	448	4241	4111	6.78	7.17	15878	0.741	1071414	246947	1318361	13382	12	TARA_102_DCM_0.22-3	ERS492012	ERR598962|ERR599007|ERR599168	http://www.ebi.ac.uk/ena/data/view/ERR598962,ERR599007,ERR599168	TARA_B100000902	http://www.pangaea.de/search?All&q=TARA_B100000902	TARA_102	2011-04-22 21:13:00	-5.2669	-85.2732	40	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]	DCM
TARA_B100000953	04/22/2011 02:16 PM	-5.27	-85.22	475.6	9.2	34.7	4.4	40	0.01	2.85	39.2	40.6	44.4	0	0.04	1.8	3.75	18	37	36	29	353	41	3108	491	4723	4643	6.68	7.19	17457	0.736	162019	0	162019	0	27	TARA_102_MES_0.22-3	ERS491980	ERR599055|ERR599128|ERR599132	http://www.ebi.ac.uk/ena/data/view/ERR599055,ERR599128,ERR599132	TARA_B100000953	http://www.pangaea.de/search?All&q=TARA_B100000953	TARA_102	2011-04-22 12:08:28	-5.261	-85.1678	480	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]	MES
TARA_B100000900	04/21/2011 08:16 PM	-5.25	-85.16	5.5	24.9	34.7	206	11.7	0.32	1	12.6	5	42.1	0	0.04	1.8	3.75	18	37	36	29	353	41	2293	357	3198	3093	6.62	7.13	13566	0.75	1032721	192335	1225056	19091	12	TARA_102_SRF_0.22-3	ERS491938	ERR598943|ERR598978	http://www.ebi.ac.uk/ena/data/view/ERR598943,ERR598978	TARA_B100000900	http://www.pangaea.de/search?All&q=TARA_B100000900	TARA_102	2011-04-21 20:07:00	-5.2529	-85.1545	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]	SRF
TARA_B100000927	05/13/2011 12:00 AM	2.08	-84.52	29.8	26.5	34.3	203.1	3.9	0.11	0.5	4.6	3.2	51.7	0.01	0.02	2.22	11.36	9	28	42	28	380	61	2501	401	3567	3451	6.68	7.17	15374	0.743	824281	155101	979382	4968	13	TARA_109_DCM_0.22-3	ERS492177	ERR598952|ERR599065|ERR599108	http://www.ebi.ac.uk/ena/data/view/ERR598952,ERR599065,ERR599108	TARA_B100000927	http://www.pangaea.de/search?All&q=TARA_B100000927	TARA_109	2011-05-12 22:15:00	2.0299	-84.5546	30	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]	DCM
TARA_B100000929	05/13/2011 07:44 PM	2.07	-84.54	376.4	11.3	34.8	2.5	33.9	0.02	2.58	35.3	36.3	51.7	0.01	0.02	2.22	11.36	9	28	42	28	380	61	3372	531	4999	4927	6.83	7.29	18992	0.74	137487	0	137487	0	18	TARA_109_MES_0.22-3	ERS492205	ERR598971|ERR599067	http://www.ebi.ac.uk/ena/data/view/ERR598971,ERR599067	TARA_B100000929	http://www.pangaea.de/search?All&q=TARA_B100000929	TARA_109	2011-05-13 16:08:58	2.0649	-84.5546	380	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Coastal Biome	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]	MES
TARA_B100000925	05/12/2011 01:38 PM	1.99	-84.58	5.4	27.6	33.4	198.6	1.2	0.04	0.27	0.9	1.7	51.5	0.01	0.02	2.22	11.36	9	28	42	28	380	61	2356	388	3372	3269	6.65	7.17	15162	0.745	1053096	0	1053096	0	11	TARA_109_SRF_0.22-3	ERS492145	ERR598997|ERR599118	http://www.ebi.ac.uk/ena/data/view/ERR598997,ERR599118	TARA_B100000925	http://www.pangaea.de/search?All&q=TARA_B100000925	TARA_109	2011-05-12 14:00:00	1.9928	-84.5766	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]	SRF
TARA_B100001113	05/21/2011 11:21 PM	-1.84	-84.63	48.7	21.8	35.1	144.6	10.9	0.41	0.93	10.7	6	46.5	0.02	0	0.43	7.03	22	41	81	29	347	253	2874	443	4207	4039	6.8	7.19	16528	0.74	NA	NA	NA	NA	10	TARA_110_DCM_0.22-3	ERS492264	ERR599014	http://www.ebi.ac.uk/ena/data/view/ERR599014	TARA_B100001113	http://www.pangaea.de/search?All&q=TARA_B100001113	TARA_110	2011-05-21 21:00:00	-1.9002	-84.6265	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	DCM
TARA_B100001079	05/22/2011 05:56 PM	-1.87	-84.62	376.9	10.3	34.8	1.3	34.6	0	2.8	38.1	35	46.5	0.02	0	0.43	7.03	22	41	81	29	347	253	4046	599	5912	5609	7.18	7.22	19565	0.731	85282	0	85282	0	18	TARA_110_MES_0.22-3	ERS492294	ERR599020	http://www.ebi.ac.uk/ena/data/view/ERR599020	TARA_B100001079	http://www.pangaea.de/search?All&q=TARA_B100001079	TARA_110	2011-05-22 13:20:00	-1.8902	-84.6141	380	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MES
TARA_B100001109	05/21/2011 12:37 PM	-2.01	-84.59	5.5	23.9	35	190.8	6.7	0.31	0.75	8.2	3.9	47.2	0.02	0	0.43	7.03	22	41	81	29	347	253	2640	415	3820	3631	6.73	7.18	15814	0.743	646867	189912	836779	12656	13	TARA_110_SRF_0.22-3	ERS492228	ERR599039	http://www.ebi.ac.uk/ena/data/view/ERR599039	TARA_B100001109	http://www.pangaea.de/search?All&q=TARA_B100001109	TARA_110	2011-05-21 12:27:00	-2.0133	-84.589	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100000579	05/31/2011 09:23 PM	-16.96	-100.7	89	19.9	35.7	211.5	1.4	0.2	0.44	0.93	0.9	35.5	-0.05	0	1.04	69.36	67	83	80	29	301	248	2758	430	4020	3846	6.69	7.1	15057	0.738	603813	87283	691096	2476	12	TARA_111_DCM_0.22-3	ERS492357	ERR598961	http://www.ebi.ac.uk/ena/data/view/ERR598961	TARA_B100000579	http://www.pangaea.de/search?All&q=TARA_B100000579	TARA_111	2011-05-31 20:28:10	-16.9587	-100.6751	90	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	DCM
TARA_B100000586	06/01/2011 06:24 PM	-16.96	-100.66	347.1	10.9	34.7	3.2	30.4	0.01	2.73	34.61	26	34.4	-0.05	0	1.04	69.36	67	83	80	29	301	248	3033	489	4823	4702	6.67	7.14	17558	0.731	65052	0	65052	0	18	TARA_111_MES_0.22-3	ERS492381	ERR599086	http://www.ebi.ac.uk/ena/data/view/ERR599086	TARA_B100000586	http://www.pangaea.de/search?All&q=TARA_B100000586	TARA_111	2011-06-01 16:00:59	-16.9486	-100.6715	350	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MES
TARA_B100000575	05/31/2011 02:12 PM	-16.96	-100.63	5.9	22.8	36	208.9	2.6	0.04	0.5	2.68	1	34.2	-0.05	0	1.04	69.36	67	83	80	29	301	248	2470	390	3597	3453	6.63	7.13	14494	0.744	498513	112358	610871	5839	13	TARA_111_SRF_0.22-3	ERS492321	ERR599077	http://www.ebi.ac.uk/ena/data/view/ERR599077	TARA_B100000575	http://www.pangaea.de/search?All&q=TARA_B100000575	TARA_111	2011-05-31 14:25:00	-16.9601	-100.6335	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100000945	06/15/2011 02:29 AM	-23.19	-129.54	153.5	22.3	35.9	207.1	0.5	0	0.11	0.02	0.7	24.9	-0.06	0.03	0.44	17.22	131	159	155	162	532	431	2987	467	4437	4283	6.58	7.17	17754	0.732	207805	106641	314446	604	14	TARA_112_DCM_0.22-3	ERS492445	ERR598957	http://www.ebi.ac.uk/ena/data/view/ERR598957	TARA_B100000945	http://www.pangaea.de/search?All&q=TARA_B100000945	TARA_112	2011-06-15 00:55:48	-23.2189	-129.4997	155	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	DCM
TARA_B100000949	06/15/2011 10:14 PM	-23.2	-129.64	689.3	5.8	34.3	199.2	29.2	0.01	2.15	31.46	20.6	24.5	-0.06	0.03	0.44	17.22	131	159	155	162	532	431	4077	617	6788	6741	6.72	7.31	20948	0.734	49879	0	49879	0	18	TARA_112_MES_0.22-3	ERS492471	ERR599072	http://www.ebi.ac.uk/ena/data/view/ERR599072	TARA_B100000949	http://www.pangaea.de/search?All&q=TARA_B100000949	TARA_112	2011-06-15 18:43:16	-23.2232	-129.5986	696	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MES
TARA_B100000941	06/14/2011 04:54 PM	-23.28	-129.4	5.4	24.2	36.5	202.2	-0.9	0.01	0.14	0.03	0.8	27	-0.06	0.03	0.44	17.22	131	159	155	162	532	431	2653	421	4081	4021	6.52	7.12	16502	0.733	493328	118066	611394	321	15	TARA_112_SRF_0.22-3	ERS492408	ERR598954	http://www.ebi.ac.uk/ena/data/view/ERR598954	TARA_B100000941	http://www.pangaea.de/search?All&q=TARA_B100000941	TARA_112	2011-06-14 16:45:00	-23.2811	-129.3947	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100000700	07/28/2011 07:36 PM	-8.98	-139.2	113.3	24.7	36.1	179.9	2.3	0.1	0.59	2.8	1.8	39.6	0	0.02	NA	8.42	71	99	107	29	232	203	3284	512	4766	4571	6.8	7.31	19658	0.739	386471	83890	470361	1055	15	TARA_122_DCM_0.22-3	ERS492699	ERR598948	http://www.ebi.ac.uk/ena/data/view/ERR598948	TARA_B100000700	http://www.pangaea.de/search?All&q=TARA_B100000700	TARA_122	2011-07-28 17:15:56	-9.0063	-139.1394	115	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	DCM
TARA_B100000678	07/27/2011 11:48 PM	-8.99	-139.23	594.6	7.2	34.6	38.1	42.5	0.02	2.43	34.63	22.49	40.5	0	0.02	NA	8.42	71	99	107	29	232	203	4285	630	6483	6292	7.13	7.27	21889	0.727	89468	0	89468	0	23	TARA_122_MES_0.22-3	ERS492680	ERR598999|ERR599033|ERR599083|ERR599096	http://www.ebi.ac.uk/ena/data/view/ERR598999,ERR599033,ERR599083,ERR599096	TARA_B100000678	http://www.pangaea.de/search?All&q=TARA_B100000678	TARA_122	2011-07-27 19:28:43	-8.9729	-139.2393	600	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MES
TARA_B100001115	07/26/2011 05:34 PM	-8.99	-139.21	5.9	26.5	35.4	186.2	4	0.12	0.57	5.46	2.19	40.2	0	0.02	NA	8.42	71	99	107	29	232	203	2417	397	3614	3506	6.58	7.13	16069	0.736	NA	150974	150974	5770	13	TARA_122_SRF_0.22-3	ERS492642	ERR598992	http://www.ebi.ac.uk/ena/data/view/ERR598992	TARA_B100001115	http://www.pangaea.de/search?All&q=TARA_B100001115	TARA_122	2011-07-26 17:10:00	-8.9971	-139.1963	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100000683	07/31/2011 05:24 PM	-8.91	-140.28	5.5	26.6	35.4	189.8	3.9	0.14	0.53	4.9	2.22	45.2	0.02	0.04	NA	0	88	35	122	29	339	233	2819	464	4526	4335	6.5	7.21	19169	0.731	721664	31112	752776	10279	10	TARA_123_SRF_0.22-3	ERS492733	ERR599160	http://www.ebi.ac.uk/ena/data/view/ERR599160	TARA_B100000683	http://www.pangaea.de/search?All&q=TARA_B100000683	TARA_123	2011-07-31 17:20:00	-8.9068	-140.283	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100000686	08/01/2011 08:13 PM	-8.9	-140.29	148	22.1	35.9	161.3	5	1.47	0.66	5.43	1.19	45.2	0.02	0.04	NA	0	88	35	122	29	339	233	3502	551	5632	5536	6.28	7.19	19275	0.729	236172	9851	246023	191	13	TARA_123_MIX_0.22-3	ERS492778	ERR598956|ERR598998|ERR599117|ERR599157	http://www.ebi.ac.uk/ena/data/view/ERR598956,ERR598998,ERR599117,ERR599157	TARA_B100000686	http://www.pangaea.de/search?All&q=TARA_B100000686	TARA_123	2011-08-01 17:52:45	-8.9109	-140.2845	150	(MIX) marine epipelagic mixed layer (ENVO:01000061)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MIX
TARA_B100000674	08/05/2011 12:27 AM	-9.11	-140.58	9.9	26.5	35.4	190.7	5.1	0.16	0.63	6.18	2.52	NA	0.02	0.04	NA	0	92	33	115	31	241	187	2532	421	3812	3660	6.62	7.21	17533	0.738	705265	250340	955605	10669	13	TARA_124_SRF_0.22-3	ERS492821|ERS492814	ERR588857|ERR599036|ERR599069|ERR599080|ERR599151	http://www.ebi.ac.uk/ena/data/view/ERR588857,ERR599036,ERR599069,ERR599080,ERR599151	TARA_B100000674	http://www.pangaea.de/search?All&q=TARA_B100000674	TARA_124	2011-08-04 18:33:00	-9.1504	-140.5216	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100000676	08/05/2011 07:30 PM	-9.07	-140.62	118.3	25.2	35.8	175.9	4.5	0.35	0.49	1.21	1.47	NA	0.02	0.04	NA	0	92	33	115	31	241	187	3419	543	5265	5140	6.6	7.21	19030	0.732	446146	17646	463792	8414	13	TARA_124_MIX_0.22-3	ERS492863	ERR598988|ERR599084|ERR599089|ERR599161	http://www.ebi.ac.uk/ena/data/view/ERR598988,ERR599084,ERR599089,ERR599161	TARA_B100000676	http://www.pangaea.de/search?All&q=TARA_B100000676	TARA_124	2011-08-05 17:31:19	-9.0714	-140.5973	120	(MIX) marine epipelagic mixed layer (ENVO:01000061)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MIX
TARA_B100001121	08/08/2011 05:38 PM	-8.91	-142.56	5.5	26.8	35.4	187.3	5	0.19	0.56	3.73	1.8	NA	-0.01	0	0.14	2.78	95	44	104	29	246	214	2530	413	3865	3776	6.67	7.17	17303	0.734	800561	146848	947408	5808	14	TARA_125_SRF_0.22-3	ERS492888	ERR599066|ERR599091|ERR599114|ERR599119	http://www.ebi.ac.uk/ena/data/view/ERR599066,ERR599091,ERR599114,ERR599119	TARA_B100001121	http://www.pangaea.de/search?All&q=TARA_B100001121	TARA_125	2011-08-08 17:33:00	-8.9111	-142.5571	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100001123	08/09/2011 07:06 PM	-8.9	-142.58	138.2	23.7	36.3	160.5	3.7	0.06	0.56	3.15	1.34	NA	-0.01	0	0.14	2.78	95	44	104	29	246	214	3359	537	5430	5408	6.34	7.25	20052	0.732	301709	413	302122	8	18	TARA_125_MIX_0.22-3	ERS492926	ERR599156	http://www.ebi.ac.uk/ena/data/view/ERR599156	TARA_B100001123	http://www.pangaea.de/search?All&q=TARA_B100001123	TARA_125	2011-08-09 17:05:33	-8.8999	-142.5461	140	(MIX) marine epipelagic mixed layer (ENVO:01000061)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MIX
TARA_B100000614	09/04/2011 11:14 PM	0	-153.68	41.7	26.1	35.1	177	4.4	0.28	0.55	5.26	2.74	NA	0.01	0	0.26	0	35	40	106	29	440	468	3128	485	4723	4675	6.74	7.25	19859	0.733	484331	181360	665691	7895	15	TARA_128_DCM_0.22-3	ERS493098	ERR599032	http://www.ebi.ac.uk/ena/data/view/ERR599032	TARA_B100000614	http://www.pangaea.de/search?All&q=TARA_B100000614	TARA_128	2011-09-05 18:40:00	0.0222	-153.6858	40	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]	DCM
TARA_B100000609	09/04/2011 06:04 PM	0	-153.68	5.4	26.1	35.1	179.9	2.5	0.27	0.54	5.08	2.67	NA	0.01	0	0.26	0	35	40	106	29	440	468	2977	476	4617	4499	6.67	7.18	18140	0.732	435093	179847	614940	7872	12	TARA_128_SRF_0.22-3	ERS493044	ERR599038	http://www.ebi.ac.uk/ena/data/view/ERR599038	TARA_B100000609	http://www.pangaea.de/search?All&q=TARA_B100000609	TARA_128	2011-09-04 18:00:00	3e-04	-153.6759	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]	SRF
TARA_B100001250	10/05/2011 01:55 AM	31.5	-159.06	113.8	15.3	34.4	225.5	0.7	0.02	0.13	0.05	4.45	NA	0.03	0.06	NA	1.39	41	113	52	54	456	276	3385	530	5352	5077	6.56	7.12	17994	0.727	278945	46488	325434	673	10	TARA_132_DCM_0.22-3	ERS493340	ERR598995	http://www.ebi.ac.uk/ena/data/view/ERR598995	TARA_B100001250	http://www.pangaea.de/search?All&q=TARA_B100001250	TARA_132	2011-10-05 00:59:03	31.5168	-159.046	115	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Westerlies Biome	(NPO) North Pacific Ocean [MRGID:1908]	(NPST) North Pacific Subtropical and Polar Front Provinces [MRGID:21484]	DCM
TARA_B100001245	10/05/2011 09:53 PM	31.53	-159.02	545.5	6.7	34	138.7	29.1	0	1.22	17.49	22.34	NA	0.03	0.06	NA	1.39	41	113	52	54	456	276	3656	582	6357	6237	6.83	7.21	19674	0.729	NA	NA	NA	NA	18	TARA_132_MES_0.22-3	ERS493372	ERR598980	http://www.ebi.ac.uk/ena/data/view/ERR598980	TARA_B100001245	http://www.pangaea.de/search?All&q=TARA_B100001245	TARA_132	2011-10-05 20:45:47	31.528	-159.0224	550	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Westerlies Biome	(NPO) North Pacific Ocean [MRGID:1908]	(NPST) North Pacific Subtropical and Polar Front Provinces [MRGID:21484]	MES
TARA_B100001248	10/04/2011 05:49 PM	31.52	-159	5.5	25.2	35.2	197.7	-1	0	0.01	0.01	2.43	NA	0.03	0.06	NA	1.39	41	113	52	54	456	276	2212	367	3275	3209	6.43	7.1	14422	0.741	416576	121337	537913	932	13	TARA_132_SRF_0.22-3	ERS493300	ERR599142	http://www.ebi.ac.uk/ena/data/view/ERR599142	TARA_B100001248	http://www.pangaea.de/search?All&q=TARA_B100001248	TARA_132	2011-10-04 17:46:00	31.5213	-158.9958	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Westerlies Biome	(NPO) North Pacific Ocean [MRGID:1908]	(NPST) North Pacific Subtropical and Polar Front Provinces [MRGID:21484]	SRF
TARA_B100001094	10/19/2011 02:53 AM	35.42	-127.69	47.2	13.2	33.2	227.7	4.8	0.08	0.46	1.3	2.84	NA	-0.16	0.03	NA	40.67	10	42	38	29	635	79	3369	501	4939	4774	6.87	7.14	17038	0.733	803786	96011	899797	9392	12	TARA_133_DCM_0.22-3	ERS493431	ERR598942	http://www.ebi.ac.uk/ena/data/view/ERR598942	TARA_B100001094	http://www.pangaea.de/search?All&q=TARA_B100001094	TARA_133	2011-10-19 00:09:00	35.4002	-127.7499	45	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Westerlies Biome	(NPO) North Pacific Ocean [MRGID:1908]	(NPST) North Pacific Subtropical and Polar Front Provinces [MRGID:21484]	DCM
TARA_B100001105	10/19/2011 09:20 PM	35.31	-127.74	644.6	4.9	34.3	8.6	44.1	0	3.29	44.24	113.32	NA	-0.16	0.03	NA	40.67	10	42	38	29	635	79	4239	650	7460	7460	6.98	7.17	21208	0.72	NA	NA	NA	NA	25	TARA_133_MES_0.22-3	ERS493460	ERR599115	http://www.ebi.ac.uk/ena/data/view/ERR599115	TARA_B100001105	http://www.pangaea.de/search?All&q=TARA_B100001105	TARA_133	2011-10-19 19:27:16	35.2698	-127.7268	650	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Westerlies Biome	(NPO) North Pacific Ocean [MRGID:1908]	(NPST) North Pacific Subtropical and Polar Front Provinces [MRGID:21484]	MES
TARA_B100001093	10/18/2011 06:58 PM	35.41	-127.74	5.5	19.2	33.1	224.4	-0.7	0	0.29	0.02	1.91	NA	-0.16	0.03	NA	40.67	10	42	38	29	635	79	2816	422	4003	3852	6.71	7.15	15279	0.742	1000349	169828	1170177	6068	13	TARA_133_SRF_0.22-3	ERS493390	ERR599052	http://www.ebi.ac.uk/ena/data/view/ERR599052	TARA_B100001093	http://www.pangaea.de/search?All&q=TARA_B100001093	TARA_133	2011-10-18 15:35:00	35.3671	-127.7422	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Westerlies Biome	(NPO) North Pacific Ocean [MRGID:1908]	(NPST) North Pacific Subtropical and Polar Front Provinces [MRGID:21484]	SRF
