sample_name	Date
P01-A01-1	2018-02-20
P01-D01-4	2018-03-20
P01-E01-5	2018-04-09
P01-F01-6	2018-04-18
P01-G01-7	2018-04-25
P01-A02-9	2018-06-18
P01-H02-16	2018-10-24
P01-A03-17	2018-11-06
P01-B03-18	2018-11-20
P01-D03-20	2018-12-20
P01-F03-22	2019-07-11
P01-G03-23	2019-08-28
P01-A04-25	2019-09-18
P01-B04-26	2019-09-25
P01-C04-27	2019-10-08
P01-D04-28	2019-10-22
P01-E04-29	2019-11-06
P01-F04-30	2019-11-21
P01-G04-31	2019-12-04
P01-H04-32	2019-12-17
P01-C05-35	2020-03-04
P01-D05-36	2020-03-11
